#SMILES,glaxo_unsuitable_leads,glaxo_unsuitable_natprod,glaxo_reactive,ursu_reactive,alarmnmr,lint_blake-v2,oprea_filters,MLSMR_excluded,MLSMR_allowed,toxic,pains,passes,fails,passrate,failrate
COc1cc(C)c2c(Oc3cccc(c3)C(F)(F)F)c(OC)cc(NC(C)CCCN)c2n1,1,1,1,1,0,1,1,1,1,0,1,9,2,81.82,18.18
OCC1CCN(Cc2cccc(c2)-c2cccc(c2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)CC1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
COc1ccc2CCCCc2c1CCNCCCCNCCc1c2CCCCc2ccc1OC,1,1,1,1,1,1,1,0,1,1,1,10,1,90.91,9.09
CC(C)CNCc1cccc(c1)-c1ccc(CN(C2CCN(Cc3ccccc3)CC2)C(=O)Nc2ccccc2)cc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
COc1ccc2ncc(F)c(NC(=O)C3CCC(CC3)NCc3cc4c(F)cccc4[nH]3)c2n1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
Fc1ccc2[nH]c(nc2c1)-c1ccc(cc1)-c1ccc(CNCc2cnn(n2)-c2ccccc2)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CS(=O)(=O)c1cccc(c1)-c1cnc2[nH]cc(-c3cccc(CCN)c3)c2c1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CN(C)Cc1ccc(cc1)-c1cccc(NC(=O)c2ccc(Cl)cc2)c1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
CCCCCCN1CCC(CC1)NCc1cccc2ccccc12,1,1,1,1,1,1,1,0,1,1,1,10,1,90.91,9.09
CCCCCCCNCCNc1cc(C)nc2ccccc12,1,1,1,1,1,0,1,0,1,0,0,7,4,63.64,36.36
CCCCCCC(C)(C)c1cc(O)c-2c(OC(C)(C)c3ccncc-23)c1,1,1,1,1,1,1,1,0,1,1,1,10,1,90.91,9.09
Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1ccc(CNCCc2ccncc2)cc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
